Duration,Shape,Location,Scale
5mns,2.736434301277943,0,125.18869484534656
10mns,2.736429390969663,0,78.86399172805324
15mns,2.736429390969663,0,60.18448970380687
30mns,2.7364400070807564,0,37.91382190076156
1h,2.7364400070807564,0,23.884211147367672
90min,2.7364400070807564,0,18.227064448361766
2h,2.736423157216492,0,15.046084713024287
3h,2.736423157216492,0,11.482311643775233
6h,2.736459348218929,0,7.233405204512844
12h,2.8206923247326903,0,4.451147565555054
15h,2.969049499815411,0,3.5526957177095317
18h,2.969049499815411,0,3.146085456768641
24h,2.969049499815411,0,2.597036324263876
