Duration,Shape,Location,Scale
5mns,0.293845481072572,0,58.019671967692595
10mns,0.27753525009828567,0,31.71276396405389
15mns,0.23936325646557124,0,20.41718796286093
30mns,0.2863943247810536,0,11.067981522106647
1h,0.2654540203028875,0,8.342226917667169
90min,0.26642660087802056,0,7.437480815251207
2h,0.26281690515931877,0,6.553897466993137
3h,0.2610979294928686,0,5.964342281295281
6h,0.30876473340776656,0,3.915090058199899
12h,0.3259551905573256,0,2.6550796845560325
15h,0.32543480194734853,0,2.3636955606167085
18h,0.32362024146912977,0,2.0849258109534
24h,0.38134014523821763,0,1.7181573221237636
