Duration,Shape,Location,Scale
5mns,-0.07076458895874038,133.86230184249928,30.255537426201634
10mns,0.0879568266789578,74.07319633940944,17.418399412846775
15mns,-0.0675304557347561,48.27314399400578,8.620019180101409
30mns,-0.06505317851947204,12.871846157058567,2.9069934900702927
1h,-0.21930197946294766,19.678475999028834,3.596410212610979
90min,0.09935881959585634,17.71701812496115,4.37328000483847
2h,0.09872738414575835,15.648451701363204,3.7197711090911865
3h,0.048869513030536424,13.840525268972273,3.107818314459842
6h,0.008063590075173446,9.077872095795563,2.46390807863877
12h,0.060293128690773426,6.14985401045405,1.7879474590727575
15h,0.07739926802225158,5.476451791718969,1.5928625226451967
18h,0.09422397665567617,4.868130659718071,1.4596196294217119
24h,0.08459759861979166,1.9838002346619992,0.6968852789903861
