model,residual_std,mean_absolute_deviation,prediction_interval_width,cv_residuals,prediction_interval_coverage,confidence_level,aleatoric_uncertainty,epistemic_uncertainty,total_uncertainty
GEV,4.059891524730994,2.3049898668472566,15.914482339224309,0.3900098441413278,0.9230769230769232,0.95,4.059891524730994,5.792361931979432,7.073484003207122
Gumbel,4.114075244508482,2.3616242744972533,16.12687861784888,0.3952149546662489,0.9230769230769232,0.95,4.114075244508482,8.826416480465776,9.738133445589837
Log-Normal,4.111118195943543,2.4079501175924785,16.115287200473247,0.3949308884435665,0.9230769230769232,0.95,4.111118195943543,5.180385009210814,6.613447033482178
Log-Pearson-III,13.335004933857702,8.479907439268226,52.27225880805004,1.2810153089551524,0.912087912087912,0.95,13.335004933857702,0.5451530248525503,13.346143578072098
Weibull,3.9048172931390406,2.566000431230751,15.306602521523404,0.375112776935198,0.8901098901098901,0.95,3.9048172931390406,6.1229686406319885,7.2621169824618255
SVM,5.184889651437544,2.872455026029749,20.32439396126404,0.498081781872516,0.945054945054945,0.95,5.184889651437544,0.0441337279662084,5.185077480957091
ANN,3.239884175085048,1.7861109022204429,12.700112594495913,0.3112365723230987,0.934065934065934,0.95,3.239884175085048,0.1507572017435678,3.2433897702625982
TCN,0.042575255036354,0.0327717773616313,0.166891933007723,0.0184162389487028,0.9466829466829468,0.95,0.042575255036354,0.1419647935071261,0.1482115209119155
TCAN,0.021449515596032143,0.013753377832472324,0.08408055610810639,0.009278145618736744,0.9576719576719577,0.95,0.021449515596032143,0.07844552984227954,0.08132516760510972
