number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,state
29,-1.788641260012484,2025-11-12 11:05:02.352535,2025-11-12 11:05:02.363258,0 days 00:00:00.010723,4.46923063082651,0.019951524943190895,1.0092271935851194,rbf,COMPLETE
30,-3.5308360915122288,2025-11-12 11:05:02.363593,2025-11-12 11:05:02.368244,0 days 00:00:00.004651,0.17488706073998142,0.35136887165101605,0.007788810989193759,rbf,COMPLETE
31,-0.41570731579663567,2025-11-12 11:05:02.368597,2025-11-12 11:05:02.375655,0 days 00:00:00.007058,45.32088236874333,0.0018437532591724633,0.0010434808798491409,rbf,COMPLETE
32,-0.4755704439142828,2025-11-12 11:05:02.375899,2025-11-12 11:05:02.383866,0 days 00:00:00.007967,49.307523113499464,0.0029226249849951622,0.002104205770054842,rbf,COMPLETE
33,-0.5330291791989697,2025-11-12 11:05:02.384149,2025-11-12 11:05:02.391938,0 days 00:00:00.007789,21.013607211327898,0.0015534204432711568,0.004275256061078636,rbf,COMPLETE
34,-0.4354237879219706,2025-11-12 11:05:02.392219,2025-11-12 11:05:02.398638,0 days 00:00:00.006419,8.310197824164307,0.0023179121405126337,0.0023578005157871055,rbf,COMPLETE
35,-5.1087153162037,2025-11-12 11:05:02.398873,2025-11-12 11:05:02.457039,0 days 00:00:00.058166,53.95904914918741,0.004576930835933604,5.295568970870211,rbf,COMPLETE
36,-0.4978564674053116,2025-11-12 11:05:02.457333,2025-11-12 11:05:02.463830,0 days 00:00:00.006497,3.6224734418393814,0.0016700156381658801,0.004581941829598319,rbf,COMPLETE
37,-0.42643977639970726,2025-11-12 11:05:02.464051,2025-11-12 11:05:02.471026,0 days 00:00:00.006975,27.184679103932027,0.0030387893647339007,0.0017078153359802771,rbf,COMPLETE
38,-0.4522507581338111,2025-11-12 11:05:02.471317,2025-11-12 11:05:02.477743,0 days 00:00:00.006426,13.502157972915445,0.0015077390108724736,0.001026715436128631,rbf,COMPLETE
39,-2.353724318758571,2025-11-12 11:05:02.477977,2025-11-12 11:05:02.492289,0 days 00:00:00.014312,17.736344094493184,0.00839834467359078,0.2809035091172072,rbf,COMPLETE
40,-0.5507482073821043,2025-11-12 11:05:02.492583,2025-11-12 11:05:02.498873,0 days 00:00:00.006290,2.3932562420374563,0.0044033590397637426,0.005788918956842758,rbf,COMPLETE
41,-0.42430668526965754,2025-11-12 11:05:02.499121,2025-11-12 11:05:02.505914,0 days 00:00:00.006793,29.251013810351118,0.0030118200681625218,0.0016156381562750894,rbf,COMPLETE
42,-0.4394115466401079,2025-11-12 11:05:02.506180,2025-11-12 11:05:02.513098,0 days 00:00:00.006918,29.12877606666296,0.0023955718207156187,0.001926177969712415,rbf,COMPLETE
43,-0.44689095263850015,2025-11-12 11:05:02.513400,2025-11-12 11:05:02.521283,0 days 00:00:00.007883,63.60982851877716,0.005745226097478908,0.0016157558172199323,rbf,COMPLETE
44,-0.5111256534561864,2025-11-12 11:05:02.521577,2025-11-12 11:05:02.529287,0 days 00:00:00.007710,32.399665032010695,0.001192663530002655,0.0032359187795353555,rbf,COMPLETE
45,-2.2982558940658833,2025-11-12 11:05:02.529583,2025-11-12 11:05:02.538629,0 days 00:00:00.009046,65.04861750734878,0.0013362053722120958,0.012270949050158438,rbf,COMPLETE
46,-1.7729081394968038,2025-11-12 11:05:02.538893,2025-11-12 11:05:02.546640,0 days 00:00:00.007747,8.691847887180769,0.002047980429308238,0.023280962240396993,rbf,COMPLETE
47,-0.3710892022473514,2025-11-12 11:05:02.546894,2025-11-12 11:05:02.553886,0 days 00:00:00.006992,40.04995550499311,0.02702241573941056,0.0015284906758743168,rbf,COMPLETE
48,-0.7014014356734575,2025-11-12 11:05:02.554134,2025-11-12 11:05:02.561560,0 days 00:00:00.007426,43.95192084913905,0.04593943619357243,0.004942600021931394,rbf,COMPLETE
49,-6.576190871685682,2025-11-12 11:05:02.561819,2025-11-12 11:05:02.567949,0 days 00:00:00.006130,0.02804433271869909,0.03120263905953184,0.0012389650848409772,rbf,COMPLETE
50,-3.1294850406943677,2025-11-12 11:05:02.568176,2025-11-12 11:05:02.577263,0 days 00:00:00.009087,18.54563820661406,0.018352865498268544,0.043967685922460205,rbf,COMPLETE
51,-0.386440328740531,2025-11-12 11:05:02.577528,2025-11-12 11:05:02.584882,0 days 00:00:00.007354,67.20254421380656,0.026966194488244496,0.0014424946792525337,rbf,COMPLETE
52,-0.3724193381019222,2025-11-12 11:05:02.585225,2025-11-12 11:05:02.592370,0 days 00:00:00.007145,91.16150022187016,0.02530611365361477,0.0010349846376732199,rbf,COMPLETE
53,-0.544825130786706,2025-11-12 11:05:02.592610,2025-11-12 11:05:02.600798,0 days 00:00:00.008188,97.31167144983328,0.028545828763447367,0.0025707788114677312,rbf,COMPLETE
54,-1.8516934144193002,2025-11-12 11:05:02.601055,2025-11-12 11:05:02.621718,0 days 00:00:00.020663,72.67267900355401,0.02379560552324763,0.14014881211597133,rbf,COMPLETE
55,-0.3802593120066347,2025-11-12 11:05:02.622047,2025-11-12 11:05:02.629544,0 days 00:00:00.007497,63.80344798050236,0.04688509536760347,0.0014439642736076101,rbf,COMPLETE
56,-0.6495542502889726,2025-11-12 11:05:02.629819,2025-11-12 11:05:02.637765,0 days 00:00:00.007946,73.24402186585732,0.10704224315722931,0.0037961250052657583,rbf,COMPLETE
57,-0.3819850824128413,2025-11-12 11:05:02.638088,2025-11-12 11:05:02.645824,0 days 00:00:00.007736,61.55194601813322,0.04938996735594086,0.0016159721411837314,rbf,COMPLETE
58,-1.0660449555284564,2025-11-12 11:05:02.646123,2025-11-12 11:05:02.654313,0 days 00:00:00.008190,60.09591890171666,0.04423624648642503,0.006004885657821666,rbf,COMPLETE
59,-0.39736330453929153,2025-11-12 11:05:02.654611,2025-11-12 11:05:02.662161,0 days 00:00:00.007550,93.89347187431439,0.062414625997486525,0.0014926147821593485,rbf,COMPLETE
60,-0.4595606590393023,2025-11-12 11:05:02.662453,2025-11-12 11:05:02.669889,0 days 00:00:00.007436,34.46321857052916,0.014358025672298104,0.0024443044804870425,rbf,COMPLETE
61,-0.41438655967665505,2025-11-12 11:05:02.670154,2025-11-12 11:05:02.678149,0 days 00:00:00.007995,96.8019704755448,0.06053941102218617,0.001678883789022729,rbf,COMPLETE
62,-0.39184665699646554,2025-11-12 11:05:02.678399,2025-11-12 11:05:02.686027,0 days 00:00:00.007628,61.103779182912106,0.0374136998714094,0.0015242461121355347,rbf,COMPLETE
63,-0.37362429112997997,2025-11-12 11:05:02.686301,2025-11-12 11:05:02.693437,0 days 00:00:00.007136,59.26221809151474,0.03413894883373503,0.0014140023451442798,rbf,COMPLETE
64,-0.44021794086137955,2025-11-12 11:05:02.693772,2025-11-12 11:05:02.700716,0 days 00:00:00.006944,24.008217324819764,0.03620351108647417,0.003321110941302205,rbf,COMPLETE
65,-0.4003444991739483,2025-11-12 11:05:02.700952,2025-11-12 11:05:02.707930,0 days 00:00:00.006978,38.82884636271671,0.02466567042768294,0.0021332180298250115,rbf,COMPLETE
66,-0.37621394680722353,2025-11-12 11:05:02.708165,2025-11-12 11:05:02.715581,0 days 00:00:00.007416,71.26617848437557,0.09917375833052308,0.001379370204320777,rbf,COMPLETE
67,-3.861924893898062,2025-11-12 11:05:02.715846,2025-11-12 11:05:02.721413,0 days 00:00:00.005567,0.7296024960884995,0.12433914170620623,0.0013400578409330176,rbf,COMPLETE
68,-2.9437493982142495,2025-11-12 11:05:02.721697,2025-11-12 11:05:02.737604,0 days 00:00:00.015907,76.81562314337368,0.22595092789675592,0.39093467411791627,rbf,COMPLETE
69,-0.4601772130638981,2025-11-12 11:05:02.737947,2025-11-12 11:05:02.745268,0 days 00:00:00.007321,51.002403896548934,0.08230317559492281,0.0028183322517623664,rbf,COMPLETE
70,-0.4071972310308286,2025-11-12 11:05:02.745514,2025-11-12 11:05:02.752205,0 days 00:00:00.006691,16.82037080808732,0.049002623070784804,0.002040080805784433,rbf,COMPLETE
71,-0.37558871809062144,2025-11-12 11:05:02.752463,2025-11-12 11:05:02.759515,0 days 00:00:00.007052,55.56546277513199,0.03484286182156433,0.0014215447029399676,rbf,COMPLETE
72,-0.4003259987842533,2025-11-12 11:05:02.759748,2025-11-12 11:05:02.766933,0 days 00:00:00.007185,38.44294157422186,0.018514241619038876,0.0013526311589525913,rbf,COMPLETE
73,-0.709585517675024,2025-11-12 11:05:02.767155,2025-11-12 11:05:02.775437,0 days 00:00:00.008282,76.63802794474053,0.027711090642323584,0.003851409227170092,rbf,COMPLETE
74,-6.230266824456228,2025-11-12 11:05:02.775712,2025-11-12 11:05:02.781835,0 days 00:00:00.006123,0.09996834270163775,0.07934150563596501,0.001278078540527035,rbf,COMPLETE
75,-0.7588941278191486,2025-11-12 11:05:02.782147,2025-11-12 11:05:02.789688,0 days 00:00:00.007541,24.25840052678375,0.033616315752341516,0.007075229546044043,rbf,COMPLETE
76,-0.4483412299460799,2025-11-12 11:05:02.789968,2025-11-12 11:05:02.797442,0 days 00:00:00.007474,52.66192694392106,0.053662360787993815,0.0025731204303478515,rbf,COMPLETE
77,-0.26369640803882965,2025-11-12 11:05:02.797715,2025-11-12 11:05:02.803337,0 days 00:00:00.005622,35.674417748615575,0.1841646861045004,0.0018507898197070512,rbf,COMPLETE
78,-0.2986366270762403,2025-11-12 11:05:02.803627,2025-11-12 11:05:02.808324,0 days 00:00:00.004697,34.48057865052861,0.23618613704260658,0.001005436458326046,rbf,COMPLETE
79,-0.9597271857620171,2025-11-12 11:05:02.808537,2025-11-12 11:05:02.813413,0 days 00:00:00.004876,5.660101805489362,0.168919764444079,0.0010629422114247786,rbf,COMPLETE
80,-0.4304604290204315,2025-11-12 11:05:02.813725,2025-11-12 11:05:02.818311,0 days 00:00:00.004586,9.830836452565174,0.22184813787857355,0.0020998469951416777,rbf,COMPLETE
81,-0.49639435276466665,2025-11-12 11:05:02.818532,2025-11-12 11:05:02.822379,0 days 00:00:00.003847,33.274046220679324,0.3426876338116896,0.0010023248151252626,rbf,COMPLETE
82,-0.8157002392754048,2025-11-12 11:05:02.822582,2025-11-12 11:05:02.825894,0 days 00:00:00.003312,43.99219920811747,0.49063887058995836,0.0018495056408063739,rbf,COMPLETE
83,-3.7320502207504314,2025-11-12 11:05:02.826086,2025-11-12 11:05:02.836242,0 days 00:00:00.010156,53.213357321213245,0.2873156726735419,2.294460229488519,rbf,COMPLETE
84,-0.35764745683144844,2025-11-12 11:05:02.836526,2025-11-12 11:05:02.842041,0 days 00:00:00.005515,15.222638350498084,0.1731950755186607,0.002939052213774105,rbf,COMPLETE
85,-0.31264324287686057,2025-11-12 11:05:02.842312,2025-11-12 11:05:02.848152,0 days 00:00:00.005840,23.856029412303222,0.16727246411944682,0.002956697410969639,rbf,COMPLETE
86,-0.353838698371766,2025-11-12 11:05:02.848417,2025-11-12 11:05:02.853909,0 days 00:00:00.005492,15.756748944107741,0.17544728537977647,0.00445104274671706,rbf,COMPLETE
87,-0.3665752020700072,2025-11-12 11:05:02.854219,2025-11-12 11:05:02.859591,0 days 00:00:00.005372,16.739760310483874,0.18271202000727796,0.004568000409633211,rbf,COMPLETE
88,-0.688677454953878,2025-11-12 11:05:02.859839,2025-11-12 11:05:02.865736,0 days 00:00:00.005897,11.00981946526513,0.1612074693945257,0.010541779183118952,rbf,COMPLETE
89,-0.37683821571025905,2025-11-12 11:05:02.866032,2025-11-12 11:05:02.871522,0 days 00:00:00.005490,13.904808618074807,0.1695902760550296,0.00489680298058579,rbf,COMPLETE
