Duration (minutes),2-year,5-year,10-year,25-year,50-year,100-year
5,45.971004355775655,54.083534536206656,67.60441817025833,81.12530180430998,94.64618543836164,108.16706907241331
10,22.04339453279148,25.933405332695862,32.416756665869826,38.9001079990438,45.38345933221776,51.866810665391725
15,21.225955120455378,24.971711906418093,31.214639883022617,37.45756785962714,43.70049583623167,49.94342381283619
30,14.221771250658383,16.731495589009864,20.91436948626233,25.097243383514794,29.28011728076726,33.46299117801973
60,8.302166129496445,9.767254269995819,12.209067837494773,14.65088140499373,17.092694972492684,19.534508539991638
90,6.2255501371563975,7.324176631948703,9.155220789935878,10.986264947923054,12.81730910591023,14.648353263897405
120,5.212391486156169,6.132225277830787,7.665281597288484,9.19833791674618,10.731394236203878,12.264450555661574
180,4.916635029638779,5.784276505457387,7.230345631821734,8.67641475818608,10.122483884550428,11.568553010914775
360,3.022332814137372,3.555685663691026,4.444607079613783,5.333528495536539,6.222449911459296,7.111371327382052
720,2.182742486207669,2.5679323367149047,3.2099154208936307,3.851898505072357,4.4938815892510835,5.1358646734298095
900,2.343058617244886,2.756539549699866,3.4456744371248327,4.134809324549799,4.823944211974766,5.513079099399732
1080,1.8061423882313443,2.1248733979192287,2.656091747399036,3.187310096878843,3.71852844635865,4.249746795838457
1440,1.7180164044098054,2.0211957698938887,2.526494712367361,3.031793654840833,3.537092597314305,4.042391539787777
