Return Period (years),5 mins,10 mins,15 mins,30 mins,60 mins,90 mins,120 mins,180 mins,360 mins,720 mins,900 mins,1080 mins,1440 mins
2,58.019671967692595,31.71276396405389,20.41718796286093,11.067981522106647,8.342226917667169,7.437480815251207,6.553897466993137,5.964342281295281,3.915090058199899,2.6550796845560325,2.3636955606167085,2.0849258109534,1.7181573221237636
5,74.29834828729271,40.05681446974683,24.973875349863008,14.084739937206644,10.430580635972046,9.306959707202992,8.176401944300592,7.430137376464797,5.076902280870226,3.493155480385473,3.1084342699735488,2.737647402008519,2.368356739132892
10,84.55145307606881,45.258702984760234,27.74715879993895,15.975966316364989,11.72265404114014,10.46432254887159,9.178587466783913,8.334547676698804,5.815555208179165,4.0317601887959285,3.586898098916742,3.1565172996001163,2.8009522603243457
25,97.0487389498624,51.55227519481227,31.04466619206415,18.273335992260698,13.277313848400654,11.857511286033283,10.382999456393604,9.420604842699834,6.722018292722919,4.697920101715011,4.178534072448453,3.6740357653277407,3.349661422699621
50,106.08779028215986,56.07594687336017,33.3804073147034,19.930244955969336,14.389605451115585,12.854648960518933,11.243833426278039,10.196335333967875,7.381401807773505,5.185699727180902,4.611659081385421,4.052637852545636,3.760038888610062
100,114.93525100805296,60.48302744550885,35.63111582401113,21.548564914271054,15.469472921902554,13.822989998575018,12.078940170084215,10.948510281742768,8.029582336299034,5.667566471352066,5.039469756146897,4.426399648002437,4.171944476153571
