Return Period (years),5 mins,10 mins,15 mins,30 mins,60 mins,90 mins,120 mins,180 mins,360 mins,720 mins,900 mins,1080 mins,1440 mins
2,55.7851622752828,31.438363121261954,19.551862528764183,10.53199702193053,7.951978444950206,7.012635993516627,6.38074193486194,5.741837239882676,3.9239170611336442,2.6566649161375206,2.378281797380273,2.13160819857871,1.746628370917678
5,73.37589900106903,39.94727252460769,24.572529351438934,13.917191027936614,10.151531994138878,9.252155269103683,8.112849963378814,7.360201771312225,5.080102656047441,3.4937666403623004,3.1130651176083095,2.7472752026795635,2.3753630068524885
10,86.71422575197072,45.5016105972337,28.4463409097062,16.6007058801792,11.883720992098963,11.098640528936935,9.345589551510335,8.576315652946885,5.806931205790433,4.0302283514360555,3.5712266052407364,3.099443382580421,2.764388634299696
25,105.58479298295967,52.47793789337696,33.97644362850611,20.530592779470727,14.398613663192847,13.88366877053075,11.003694214528661,10.282131999638336,6.690542965987188,4.692170698459331,4.123708864207367,3.494084328111413,3.227977853544622
50,121.18225624426532,57.66519905147149,38.57588067306318,23.879059404970576,16.52241122157436,16.318246774118762,12.314072171338324,11.680704112422513,7.32779085148861,5.175810840756107,4.518924050906447,3.757708194196544,3.5551198377967994
100,138.168201607906,62.857225049966814,43.606176475474726,27.615784941036026,18.87421503786116,19.091661720605938,13.690783059992143,13.193625806355708,7.949889804756477,5.65275321971279,4.9020800015245145,3.9995058791682467,3.8683307013014954
