Duration (minutes),2-year,5-year,10-year,25-year,50-year,100-year
5,73.126976,86.03173,107.539665,129.04759,150.55553,172.06346
10,40.77917,47.975494,59.969368,71.96324,83.957115,95.95099
15,25.93842,30.515787,38.144733,45.77368,53.402626,61.031574
30,14.158274,16.656792,20.82099,24.985188,29.149385,33.313583
60,10.458851,12.30453,15.380663,18.456795,21.532928,24.60906
90,9.2372,10.867293,13.584117,16.30094,19.017763,21.734587
120,8.045801,9.465648,11.83206,14.198471,16.564884,18.931295
180,7.3450966,8.64129,10.801612,12.961935,15.122257,17.28258
360,4.932767,5.803255,7.254069,8.704883,10.155697,11.60651
720,3.182944,3.7446399,4.6808,5.6169596,6.5531197,7.4892797
900,2.9333231,3.4509683,4.31371,5.1764526,6.0391946,6.9019365
1080,2.5847745,3.0409112,3.8011389,4.561367,5.3215947,6.0818224
1440,2.0425305,2.402977,3.0037212,3.6044655,4.2052097,4.805954
