Model,Duration_Minutes,RMSE,MAE,R2,NSE,PBIAS,Bias,N_Points
Gumbel,5,24.566450952124836,20.9550839822089,0.9999999999999998,0.8705028090748783,3.1212781183514164,-6.996721759600604,6
Gumbel,10,9.741861906672844,7.657726263859344,1.0,0.9063014416320764,-5.677777650779934,6.346061063841218,6
Gumbel,15,11.364220583200366,9.660947736620065,1.0,0.7445447600692421,7.466561218984773,-5.8054700812087106,6
Gumbel,30,1.7251266905161877,1.3691375452472017,1.0,0.9020888640051391,-6.2039984414829155,1.21832355357642,6
Gumbel,60,5.363635324802467,4.502016159795233,1.0,0.6940959946484728,10.593169097252652,-3.6363119395851395,6
Gumbel,90,2.05403526778622,1.7893795041281486,0.9999999999999998,0.9355902262183545,1.027137957644233,-0.2969766234584987,6
Gumbel,120,3.7947491519078596,3.1848239853724585,0.9999999999999998,0.77327043892131,9.336493975957582,-2.5708335980919492,6
Gumbel,180,1.7353684211247264,1.413458362508206,1.0,0.9129104220629045,-4.264473371334616,0.8926838930977844,6
Gumbel,360,1.1952843138686746,1.0239840030791816,1.0,0.9341060039816791,2.497354848486601,-0.3982270323633026,6
Gumbel,720,0.9166516134852913,0.7818902475016499,1.0,0.9247851013983002,3.9874237982273932,-0.4467893448795907,6
Gumbel,900,1.1042796448287127,0.9205145891160246,1.0,0.8730274566024544,6.976433789964957,-0.716663193005249,6
Gumbel,1080,1.003115048729074,0.8417804387251868,0.9999999999999996,0.8790124237713992,6.276824512833952,-0.5745455573547215,6
Gumbel,1440,0.36742160827608167,0.3122260694712437,0.9999999999999996,0.9087998120341937,7.076009181902467,-0.2865627366389037,6
SVM,5,24.9756902304968,22.515201588135795,0.9783678743324565,0.8661524250930112,-10.044161889228953,22.515201588135795,6
SVM,10,5.0397038513105175,4.41999458537887,0.9783678743324569,0.9749239570943629,-1.186397171980173,1.3260379962784359,6
SVM,15,6.932737718918561,6.481723691287176,0.9783678743324566,0.9049296602587137,7.6230991865993945,-5.927182936820102,6
SVM,30,6.361270553110949,5.991179818050412,0.9783678743324566,-0.33130583240644595,-30.508537854921467,5.991179818050412,6
SVM,60,11.254307338479018,10.813430683492841,0.9783678743324569,-0.3468034510483702,31.501285273322456,-10.813430683492841,6
SVM,90,6.469053060163774,6.198284589274813,0.9783678743324565,0.3611227725640458,21.437691963034755,-6.198284589274813,6
SVM,120,4.718768949828904,4.4162229485544815,0.9783678743324566,0.6494100776646078,16.038392755667505,-4.4162229485544815,6
SVM,180,11.850241042165164,11.280833666467073,0.9783678743324565,-3.061039128088277,-53.89008936877309,11.280833666467073,6
SVM,360,1.42997579028799,1.348962794037342,0.9783678743324569,0.9056893420364344,7.590513044965315,-1.2103796486283318,6
SVM,720,0.6156139128491142,0.5758650821161105,0.9783678743324566,0.9660756049023719,3.005823245988148,-0.336801370222023,6
SVM,900,4.1906159630623945,3.9769958858393437,0.9783678743324569,-0.8285524042932415,38.71448785331717,-3.9769958858393437,6
SVM,1080,4.480243878268837,4.226712965320702,0.9783678743324566,-1.4134738366233695,46.176208674534,-4.226712965320702,6
SVM,1440,0.27859043488660457,0.2714561924335477,0.9783678743324566,0.9475677193870906,4.828056942779542,-0.19552563805455425,6
ANN,5,51.67306216754991,47.95186714738046,0.978367869203941,0.4270669098668287,21.391605783928807,-47.95186714738046,6
ANN,10,45.70482223046605,43.90627138991946,0.9783678708990908,-1.0624005652132236,39.282642243576205,-43.90627138991946,6
ANN,15,28.637339292084555,27.400783173860606,0.9783678782502553,-0.6221866970408569,35.240837030231,-27.400783173860606,6
ANN,30,11.76923067181733,11.210051160967623,0.978367883546573,-3.5570757774078787,-57.08429400993641,11.210051160967623,6
ANN,60,15.044408349237003,14.47697784000747,0.9783678655422053,-1.4066719961494858,42.173794994572106,-14.47697784000747,6
ANN,90,12.292480304547569,11.846724813323448,0.9783678624859927,-1.306826988518309,40.97366515863416,-11.846724813323448,6
ANN,120,11.849468993547932,11.351649791621135,0.9783678698411963,-1.2107507442458205,41.22577594104563,-11.351649791621135,6
ANN,180,2.7851281043910916,2.59972578196304,0.9783678709232067,0.775677334496165,12.419246561603456,-2.59972578196304,6
ANN,360,4.203368865171668,3.987938162633558,0.9783678724133009,0.1851110831017021,25.0090925440536,-3.987938162633558,6
ANN,720,4.312441066503436,4.09927658958505,0.9783678687154538,-0.664721567396038,36.58447368128925,-4.09927658958505,6
ANN,900,4.310987616238155,4.093298246772258,0.9783678770985821,-0.9351081225414224,39.84664550922059,-4.093298246772258,6
ANN,1080,5.2968671231779725,5.014625020235761,0.9783678592164894,-2.3734745785035805,54.784030346706174,-5.014625020235761,6
ANN,1440,0.9300498933185208,0.868368955560706,0.9783678804261495,0.4156422068038558,21.442378638955333,-0.868368955560706,6
TCN,5,20.485438612340957,19.886800061143486,0.9783678730999494,0.9099536647360355,7.278487630151784,-16.315608814047135,6
TCN,10,21.662078034149335,20.544320389919456,0.9783678727029553,0.5367139719271194,18.380863654933425,-20.544320389919456,6
TCN,15,12.137862176870474,11.294973840527271,0.9783678703051543,0.7085796273153788,14.526750197215692,-11.294973840527271,6
TCN,30,2.0664129727064298,1.747378160967621,0.9783678551621396,0.8595168166681324,-8.89807256496122,1.747378160967621,6
TCN,60,8.829104693562538,8.458492256674138,0.9783678768210076,0.171104060921065,24.64096597636062,-8.458492256674138,6
TCN,90,6.785970365348493,6.50818064665678,0.9783678625712271,0.29699259602060524,22.50951371033062,-6.50818064665678,6
TCN,120,6.983791564364513,6.6388682082878026,0.9783678645397573,0.232064861115016,24.110371468561475,-6.6388682082878026,6
TCN,180,1.0180355663523313,0.860261114971587,0.9783678655599888,0.9700284842463237,-1.872102961120378,0.3918880513702936,6
TCN,360,3.221635538953863,3.0282579626335586,0.9783678723934497,0.5213079443782537,18.990761778702357,-3.0282579626335586,6
TCN,720,2.897136673677312,2.7264482562517167,0.9783678682230953,0.2486656799215613,24.332506551926688,-2.7264482562517167,6
TCN,900,4.218239628633021,4.003689213438926,0.9783678847362103,-0.8527387294443716,38.974336879261166,-4.003689213438926,6
TCN,1080,5.098118508901066,4.822970886902428,0.9783678703069385,-2.1250656006970416,52.690237527854215,-4.822970886902428,6
TCN,1440,1.5851869124017475,1.5047173222273729,0.9783678645398469,-0.6975684765471606,37.155541272155396,-1.5047173222273729,6
TCAN,5,23.50554862515901,20.95424285261954,0.9783678781245805,0.8814459778551467,-9.347809152587542,20.95424285261954,6
TCAN,10,10.779510581327868,9.864493074204422,0.9783678765594835,0.8852779081933162,8.53121519628398,-9.53535272325279,6
TCAN,15,6.713766458416102,6.2899977064152415,0.9783678608019072,0.9108404299322916,7.313477288339525,-5.68644284052727,6
TCAN,30,27.805927053076125,26.62904966096762,0.9783678703948122,-24.436939594276673,-135.6015666855049,26.62904966096762,6
TCAN,60,4.757616174796074,4.4431592566741385,0.9783678604879842,0.7593169631048472,12.94364678112361,-4.4431592566741385,6
TCAN,90,4.192966251594788,3.9468158133234468,0.978367866417091,0.7316023461280785,13.6506513087941,-3.9468158133234468,6
TCAN,120,5.0300363434193995,4.724288708287802,0.978367864421969,0.6016321808878152,17.15719488742884,-4.724288708287802,6
TCAN,180,4.876107241777538,4.535189884703627,0.9783678696757167,0.31241039464181974,-21.66522399116056,4.535189884703627,6
TCAN,360,0.7937270312701236,0.7089716697015339,0.9783678588221253,0.9709433362997945,2.4447096014156773,-0.3898322459668915,6
TCAN,720,1.5203132435572386,1.3951375384551288,0.978367868478751,0.7930995585439492,12.186670075878872,-1.3655118229183838,6
TCAN,900,2.452878790993244,2.2902764634389254,0.97836788991463,0.37352483176700413,22.29493891111516,-2.2902764634389254,6
TCAN,1080,2.440513060117721,2.2479838369024274,0.9783678737257006,0.28385402206502264,24.558888100864923,-2.2479838369024274,6
TCAN,1440,1.4524339045728372,1.3918670277726273,0.9783678761999638,-0.42514515991692936,-34.368962217571614,1.3918670277726273,6
