Return Period (years),5 mins,10 mins,15 mins,30 mins,60 mins,90 mins,120 mins,180 mins,360 mins,720 mins,900 mins,1080 mins,1440 mins
2,56.22640942029615,31.45579407342371,19.659067133219033,10.675173854744324,7.901477849315451,7.276487700006292,6.4081705278316345,5.79653710322448,3.92578819433627,2.6598670380521487,2.3834524404389863,2.1346031864154127,1.7533547852033928
5,73.06366445853814,39.90466742090345,24.400550814839235,13.835583244091204,9.998490970664939,9.210237049856612,8.083056410365332,7.326054469709237,5.080873093161876,3.498590167220354,3.1235315416905665,2.7490332834719773,2.3741857628871164
10,85.63587319893385,45.43098958003374,28.091631388794813,16.247138743184493,11.795148929221742,10.56163270730462,9.257188022100205,8.437070646830142,5.814552109724371,4.04509526990922,3.5925547101859516,3.1056066828409845,2.7652259967051105
25,103.35206395573678,52.33746810799985,33.495083417506166,19.71338749332471,14.668182970896638,12.354619574463534,10.819381769554685,9.963803376416994,6.707582662594234,4.72573685055602,4.162296795630466,3.505976829694748,3.237627486617294
50,117.9584990903339,57.40679973307833,38.116424521954485,22.62620527052978,17.341934649886802,13.749332204064192,12.037885874292265,11.19240593295404,7.346425407542334,5.223652894036884,4.5690688880327395,3.7706324521813985,3.5730928323304405
100,133.8198189667487,62.39342775640128,43.29437380365454,25.84115695521646,20.562438424779483,15.190643237375866,13.300025973890069,12.499278836743658,7.9612972042808146,5.712054575333891,4.959925650341155,4.008898413674615,3.8939673500992726
