Return Period (years),5 mins,10 mins,15 mins,30 mins,60 mins,90 mins,120 mins,180 mins,360 mins,720 mins,900 mins,1080 mins,1440 mins
2,60.201584963543795,32.93668947726559,20.955936313967456,11.53373490539395,8.626606757820493,7.737093114742687,6.815430855861588,6.210521267485069,4.080734224501359,2.7616695473125663,2.459005838691521,2.1857797447253073,1.807731394866489
5,78.73376969280902,41.71857703910251,26.488511882119532,14.747744201279714,11.118350498864178,9.650049377465942,8.486812479857926,7.698437166917348,5.286201846122856,3.673212040341221,3.2493420016431136,2.7975110976517112,2.459393998403881
10,88.2498301007799,46.12869625131444,29.262876884201074,16.372424752640104,12.38489423439992,10.600433623710035,9.316245314112226,8.434482642838384,5.901102727170019,4.1467842789435805,3.6580876400175377,3.106944161540831,2.803293146215579
25,98.18926767750507,50.674821985192274,32.120370232644724,18.053729851631065,13.699859634569414,11.573937425519274,10.165292397333086,9.186525751305274,6.540845489304564,4.644864233914524,4.086833265887746,3.427286003829228,3.1683651156480126
50,104.4833488021295,53.52497768934138,33.910693189541675,19.110928966092967,14.528757026936644,12.18133220650667,10.694768270034132,9.6548417535726,6.944751766790148,4.961934206395074,4.359209857141704,3.6287752939356572,3.4024096153804493
100,110.05679296276905,56.03171624845652,35.484607205409716,20.04261326113001,15.26047524923775,12.713795613386589,11.158766366995346,10.0648469705441,7.3016888644240066,5.243707624685562,4.600929741835923,3.8063785514439252,3.6114002958325626
