year,5mns,10mns,15mns,30mns,1h,90min,2h,3h,6h,12h,15h,18h,24h
1998,50.56567776,38.214743543999994,25.476495695999997,15.012862703999998,12.07405116,10.430775480000001,11.007643572,8.798948276399999,4.8194410220399995,2.5558337889900002,2.6629403146320003,1.8906556428799999,1.4414782319999997
1999,75.14712705599999,37.573563528,25.049042352,12.524521176,7.3529096004,5.739996172800001,4.32748551834,4.014041776799999,2.6281143023999993,1.52887087086,1.332525644544,1.1104380371199998,0.764435406
2000,61.645182624,30.822591312,17.756504495999998,10.274197103999999,8.364189239999998,8.1723834264,8.0918191278,7.78989063,4.315931968619999,3.3064800091589994,2.7326891381208,2.6173669802359996,2.7413507069999996
2001,98.62280625600002,49.31140312800001,18.911700432000004,16.437134376,12.526498007999997,9.1568100312,9.021572933399998,8.9517048396,6.346581434519999,3.2496943836270002,2.73884598132,2.90594798934,2.217662889
2002,50.172444143999996,42.87777228,28.58518152,18.950835096,14.104509659999998,12.469467299999998,8.862810974999999,8.984801783999998,4.837711072506,3.408684556953,2.75075367645168,2.30055208971,1.7192584979999999
2003,54.375571728,28.647743256,19.098495504,9.815527512,8.56863522,7.557449800800001,7.930367324999999,7.0302278772,5.1506150466000005,3.4307881320059996,3.1755885478535992,3.0484536376780005,2.3387805179999996
2004,52.218574992,38.255909255999995,17.406191663999998,12.751969752,7.324576707599999,7.276775884799999,6.290656722,5.676759681599999,3.9292883740200004,3.438420987108,2.7472743194640006,2.512485938308,1.8965572349999997
2005,77.031235872,38.515617936,25.677078623999996,12.838539311999998,9.257811015599998,7.691538511199997,5.2753203935999995,6.3676877435999995,4.09168483404,2.9586910932539996,1.7414931926256,1.6196819595200005,1.710739404
2006,42.441605510399995,22.834513872,15.223009247999999,7.611504623999999,7.165248886800001,5.8235013192,5.681496171599999,4.312301908799999,2.5563657396000004,1.8771236948099999,1.8452581132492802,1.5377150943744002,1.2628421399999998
2007,55.35546369094797,27.677731845473986,19.800337824000003,9.900168912000002,6.203246497199999,5.750487211199999,5.762845114199999,5.191634843999999,3.9224134254000003,2.68897941912,3.2557300257072,2.2590772237499994,2.058194274
2008,45.245236608,22.622618304,15.081745536,7.540872768,5.60175705,5.010800745599999,5.2084834974,4.784617311599999,2.5623799326,1.6997028245340002,1.43161271472,1.4102519328199998,1.1248110569999998
2009,63.865205136,31.932602567999993,21.288401712,10.644200856,7.779057418799999,8.6274282264,7.6312902978,5.846366204400001,4.4989337166,3.74045600124,2.5372087845984,2.686211517816,2.079625167
2010,37.672172712,24.78715236,16.52476824,8.26238412,6.460361258400001,5.6913127895999995,5.8659344676,4.6740477852,4.06348743786,2.5484860463042995,2.4659721389423996,2.3602458746600004,2.286177522
2011,71.55144201599998,35.775721008000005,23.850480671999996,13.751636327999996,8.3445463836,8.9876456448,7.475098343399999,5.042008550999999,3.4892846706,2.5045192702199994,2.713875837312,1.9854880552400003,1.755209427
2012,65.00583719999999,32.502918599999994,21.6686124,10.8343062,7.602060826799999,7.481696304,5.7075094602,6.0838697352,4.647304021980001,2.498383432368,2.4170331427199994,2.5330963871999996,1.9209619889999998
2013,118.501234848,59.250617424,39.500411615999994,19.750205807999997,15.707437559999999,12.209312303999997,10.4526309996,9.446114432399998,7.850370146999996,5.946071208899999,5.22388926912,4.040087659946,4.03001724
2014,37.9647537408,21.231088027199995,14.154058684799999,7.0770293423999995,6.605510904000001,5.286464195999999,4.889034549,4.9429573067999995,2.8351942243199995,2.79964908063,2.4339865923599993,1.9859799301299996,1.688318025
2015,66.623427072,33.311713536,22.207809024,11.103904512,8.859016580399999,8.621527526400001,5.8327291116,6.348599085599998,3.85752445434,2.164179865235999,1.8585717571223999,1.9283935362639997,1.215302238
2016,53.883461088000004,27.999203039999998,18.66613536,9.33306768,7.183951887599999,6.4522948752,6.0608529540000005,5.8832976096000005,3.8177080864199997,2.65833754803,2.586030703272,2.24144326476,1.9442330939999999
2017,37.271589220799996,18.4324582584,16.226430336,8.113215168,7.162573352399999,5.013161196,4.202762262299999,3.956219578199999,2.0457166669799998,1.3234530678329999,1.1877920247599998,0.9898266872999999,0.7538869289999999
2018,59.72143651199998,29.860718256,19.907145504,9.953572752,7.76736144,8.465334552,6.985953198000001,5.5559902392,3.9483050662799988,2.4836372275752,2.4632822506367997,2.0550865869239994,1.739699592
2019,81.43470432000001,40.717352160000004,27.144901439999998,13.572450719999999,10.845273636,8.082981496799999,8.7954142356,5.1790600656,4.25007296826,2.3197736203200003,2.1163355936879995,2.3826481005519997,1.8018364319999998
2020,63.43115572800001,31.715577864000004,21.143718575999998,10.571859287999999,9.772233803999999,8.970663072,8.0791495812,6.313991119199999,5.6588111099999985,3.4665504771,3.364745352264,2.6098764543199993,2.266802217
2021,43.0416567936,23.687407800000003,15.7916052,7.8958026,7.234527963599999,5.690827903199999,5.3563716144,4.523708780399999,3.6747413597399996,3.31639255899,2.994425158392,1.8147477701439998,2.227743072
2022,46.49636001599999,23.248180007999995,15.498786671999998,7.749393335999999,7.612937639999998,5.342900162399999,5.427910854,4.1533810908,3.907637292444,2.9611021409219997,1.9482920767199998,1.8800346114599997,1.8756207269999996
2023,50.820896016,28.451987424,19.748700719999995,9.874350359999998,9.468365363999999,9.495000456,8.2047853656,5.854354461719998,3.1900251712200003,2.22149689836,2.31634754796,2.2745321980799997,1.8769654080000002
2024,37.7982367056,18.8991183528,12.599412235199999,7.007308041599998,5.9719902984,5.2909151448,4.631614235999999,4.346307591599999,2.701324410599999,1.9992170342849995,2.196033394548,1.6072962882459996,1.686948051
2025,13.212751104,9.546838653599998,6.3645591023999994,3.3198397055999997,2.9737613592,2.6342511192,2.11301882496,1.74067201164,1.2167802865800004,0.7467926889809999,0.5929954883303998,0.424982052178,0.502905465
