,R2,NSE,RMSE,MAE,PBIAS,Bias,Composite_Score,N_Comparisons
Gumbel,0.9852415228349003,0.9830334494509374,8.25350673052281,4.185612991356372,2.2281298763409563,-1.020925642743942,0.07768168057030261,78.0
SVM,0.9876771272505193,0.9787516811230198,9.23642737413966,6.347451114645271,-0.6399169569160444,0.2932089540557324,0.09193986973534862,78.0
ANN,0.9718148116546665,0.8787804096681622,22.061149520141278,14.523658313371584,27.933388296582287,-12.799035057838104,0.29975061220672405,78.0
TCN,0.9927017124251306,0.9754883712905598,9.920368778460873,7.078873716969395,14.052906996729188,-6.439020121940666,0.13401061234413514,78.0
TCAN,0.9754339707928324,0.9694745137045289,11.0706476308046,6.8785748841128065,-3.1697192735662965,1.4523604395977951,0.113489342074725,78.0
