Model,RMSE,MAE,R2,NSE
SVM,33.74651702733512,22.7857173569906,0.7914867920158043,0.6050035139716822
ANN,46.01198352639208,27.767819389104847,0.720650525313698,0.2662572388573666
TCN,44.17827247952516,23.95883800188701,0.777095712394868,0.3226493245197808
TCAN,32.16466630046323,19.51083832263947,0.8062940477242377,0.6407609108494666
Traditional_Statistical,48.352506058124334,36.74313086893229,0.8652613621951762,0.2117819565201446
GEV,46.79990430469374,35.58218741962074,0.8616671751415773,0.2517773167733144
Log-Normal,48.461125221895394,36.81770226880054,0.8634596894553336,0.2111598874131866
Log-Pearson-III,46.40196796187573,35.29356488045642,0.8595137318742081,0.2622610571980301
Weibull,48.341222288866184,36.77232917348002,0.863042228281418,0.22209054765039649
