Return Period (years),5 mins,10 mins,15 mins,30 mins,60 mins,90 mins,120 mins,180 mins,360 mins,720 mins,900 mins,1080 mins,1440 mins
2,57.34230809167393,31.397640230159215,20.08086807749634,10.919112746927071,8.18206866589779,7.33693065894939,6.461559382056743,5.874766091606297,3.898748696283013,2.6524807578309186,2.3652724366258195,2.088627913274161,1.7362476898904229
5,73.13499113076774,39.91194239997997,24.455978504856873,13.859890548049794,10.05876546573887,9.21751375302184,8.08453051213209,7.331599349258083,5.087669482168147,3.5009078324374725,3.130122487382753,2.770943986447477,2.3812046259238526
10,83.59112146934119,45.54915129027838,27.352682298689135,15.80694133791273,11.301302044010374,10.462623396232129,9.159078619619685,8.296149729068002,5.874838493835176,4.062640379902677,3.636519772782707,3.222696597168725,2.8082222371327124
25,96.80246987079289,52.67177966712147,31.012675221209086,18.26704517243613,12.87125030455703,12.035822731150002,10.516773002002067,9.514861690931323,6.869428626821062,4.7723909427490785,4.276354085318728,3.793487218387977,3.347760120896848
50,106.60340282322304,57.955752282577194,33.72786705098819,20.092090732171027,14.035927608708008,13.202911867989624,11.523988254168046,10.418971844080755,7.607272404180845,5.298924455304297,4.751019729375219,4.216932308052792,3.7480201445812806
100,116.33196722519317,63.20070887367004,36.423010330502166,21.90366044197178,15.192005118465513,14.361383401841788,12.523766387015462,11.316406189778267,8.339668058908565,5.821570127053217,5.222180516824665,4.637250745644056,4.145324711079981
